院校,专业名称,最低分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州外语外贸学院,数据科学与大数据技术,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州外语外贸学院,信息管理与信息系统,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福州外语外贸学院,大数据管理与应用,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙岩学院,地球信息科学与技术,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州信息工程学院,软件工程,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州信息工程学院,网络工程,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州信息工程学院,物联网工程,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州信息工程学院,数据科学与大数据技术,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泉州信息工程学院,网络空间安全,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建船政交通职业学院,计算机网络技术,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建船政交通职业学院,软件技术,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建船政交通职业学院,大数据技术,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建船政交通职业学院,虚拟现实技术应用,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建船政交通职业学院,人工智能技术应用,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建电力职业技术学院,电子信息工程技术,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建华南女子职业学院,数字媒体艺术设计,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建林业职业技术学院,测绘地理信息技术,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建林业职业技术学院,智能控制技术,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建林业职业技术学院,物联网应用技术,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建林业职业技术学院,软件技术,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建林业职业技术学院,大数据技术,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建林业职业技术学院,云计算技术应用,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
